"frgmnts","3","74","435"
"hopesbright","1","10","75"
"hopesbright","2","25","180"
"hopesbright","3","40","293"
"flowerwall","1","7","66"
"flowerwall","2","20","114"
"flowerwall","3","36","317"
"intothecaveanother","1","31","161"
"intothecaveanother","2","57","321"
"intothecaveanother","3","88","682"
"sonzaikyodotai","1","26","154"
"sonzaikyodotai","2","40","264"
"sonzaikyodotai","3","59","371"
"mosozenkai","1","16","119"
"mosozenkai","2","26","148"
"mosozenkai","3","54","430"
"perfectionism","1","39","250"
"perfectionism","2","64","439"
"perfectionism","3","78","545"
